DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
39814,PS,5175.49,4943.498,4803.426,4702.077,4675.202,4748.963,4847.192,4795.591,4770.696,4888.074,5012.69,5067.421,5090.544,5088.848,5050.257,5065.489,5282.768,5860.619,5888.124,5846.338,5776.741,5647.596,5435.247,5123.929
39815,PS,4793.562,4593.439,4490.609,4455.086,4474.275,4653.099,4922.278,5167.384,5334.469,5533.099,5654.022,5722.828,5729.762,5719.092,5668.422,5612.323,5761.189,6215.545,6181.858,6060.185,5940.26,5751.05,5463.978,5116.194
39816,PS,4801.289,4569.491,4419.839,4366.31,4375.768,4420.739,4581.598,4650.968,4824.241,4918.397,5029.582,5037.996,5006.69,4966.964,4927.993,4916.458,5140.446,5707.889,5774.211,5725.784,5679.398,5547.248,5349.758,5060.069
39817,PS,4744.153,4535.414,4406.292,4348.298,4338.727,4402.35,4499.638,4521.424,4577.745,4714.455,4787.901,4822.173,4821.278,4796.161,4791.087,4796.607,5024.979,5560.295,5627.414,5634.931,5542.087,5324.867,5022.616,4641.27
39818,PS,4337.682,4185.164,4091.025,4078.485,4156.382,4403.856,4937.057,5395.752,5499.263,5596.24,5675.583,5681.008,5669.077,5645.028,5593.736,5581.439,5769.131,6229.277,6184.085,6097.175,5954.201,5701.903,5275.412,4829.539
39819,PS,4540.934,4368.898,4284.571,4268.543,4325.573,4596.939,5118.561,5601.868,5690.332,5789.734,5872.254,5920.825,5904.553,5893.859,5905.228,5937.203,6165.368,6470.58,6420.628,6312.396,6158.905,5879.092,5481.125,5031.686
39820,PS,4659.543,4480.327,4391.169,4360.296,4403.757,4645.863,5124.123,5664.795,5846.656,5946.647,6042.248,6069.518,6050.028,6020.605,5979.873,5940.114,6158.248,6387.309,6323.268,6181.847,6029.05,5763.441,5298.28,4905.708
39821,PS,4690.168,4500.881,4409.375,4392.223,4443.013,4690.599,5214.496,5614.585,5620.379,5724.587,5814.146,5812.109,5776.832,5743.366,5709.325,5722.589,5883.644,6306.372,6320.67,6230.402,6107.838,5861.958,5543.829,5141.417
39822,PS,4783.901,4605.894,4520.045,4508.172,4585.591,4824.063,5318.139,5725.823,5758.955,5805.845,5876.212,5878.705,5841.74,5850.187,5812.707,5784.933,5917.44,6260.16,6237.665,6129.458,5991.133,5796.943,5535.92,5164.241
39823,PS,4818.695,4646.693,4521.92,4460.739,4469.074,4533.905,4686.888,4825.303,4990.672,5221.28,5386.217,5427.966,5404.764,5369.967,5367.723,5429.181,5625.538,5937.034,5990.833,5896.916,5773.671,5591.826,5354.884,5028.671
39824,PS,4730.496,4529.865,4423.699,4336.65,4301.653,4360.226,4466.113,4548.141,4620.785,4801.426,4929.001,5021.438,5035.634,4994.358,4960.366,4951.05,5133.424,5682.346,5783.16,5752.29,5645.976,5464.074,5261.613,4926.121
39825,PS,4675.203,4552.211,4478.987,4485.239,4574.22,4844.324,5380.988,5826.428,5867.462,5918.536,5935.92,5919.508,5856.502,5824.961,5754.269,5739.907,5877.207,6324.775,6368.574,6270.546,6153.202,5888.695,5523.14,5105.552
39826,PS,4740.412,4598.467,4514.412,4500.21,4578.448,4851.006,5381.256,5798.863,5878.661,5920.674,5956.195,5952.477,5882.132,5883.273,5838.432,5846.19,5989.706,6315.823,6278.393,6172.204,6001.089,5752.193,5346.054,4913.438
39827,PS,4631.695,4504.455,4458.508,4483.53,4581.587,4878.558,5477.074,5908.416,5972.302,6052.216,6101.071,6071.43,6008.736,5993.292,5938.602,5955.138,6079.52,6517.938,6582.57,6490.391,6348.995,6076.265,5687.048,5264.465
