DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
39814,AP,5959.953,5834.505,5720.409,5648.203,5660.323,5734.309,5912.725,6006.083,6066.933,6145.396,6152.453,6138.545,6010.845,5841.524,5711.097,5609.516,5803.271,6330.323,6542.441,6575.803,6522.095,6357.242,6089.419,5755.756
39815,AP,5461.391,5326.441,5234.652,5226.105,5317.773,5474.434,5755.756,6042.557,6159.218,6295.117,6326.87,6276.135,6099.032,5915.193,5779.957,5750.781,5887.792,6320.302,6371.495,6321.021,6234.282,6056.671,5796.595,5434.035
39816,AP,5196.529,5018.63,5013.449,5004.816,5076.05,5258.059,5511.627,5761.698,5875.027,5903.206,5858.979,5776.732,5596.182,5444.619,5307.684,5271.254,5441.025,5950.5,6171.673,6163.456,6140.731,6065.158,5861.434,5538.911
39817,AP,5328.148,5154.524,5109.789,5101.937,5134.64,5204.391,5351.396,5507.624,5698.73,5797.582,5817.032,5829.576,5736.252,5674.476,5561.863,5555.716,5681.932,6036.613,6087.181,6019.316,5873.224,5645.233,5318.149,4980.271
39818,AP,4708.163,4694.934,4687.203,4684.956,4851.849,5253.596,5861.693,6157.343,6126.82,6102.044,6131.107,6068.775,6059.507,5944.555,5877.715,5912.15,6161.034,6566.693,6693.239,6693.471,6608.745,6329.093,6007.828,5644.079
39819,AP,5373.35,5264.3,5230.988,5276.863,5333.388,5722.503,6316.462,6560.632,6573.354,6643.727,6662.599,6711.081,6719.929,6754.329,6658.262,6656.096,6858.368,7133.914,7086.846,7043.205,6884.927,6560.429,6125.9,5745.422
39820,AP,5502.989,5374.107,5234.481,5230.208,5275.322,5661.396,6178.827,6455.69,6523.906,6538.626,6512.453,6574.661,6540.816,6586.714,6481.171,6485.266,6599.156,6961.494,7067.479,7056.363,6926.009,6687.77,6310.814,5935.875
39821,AP,5704.455,5599.051,5526.44,5571.605,5719.701,6045.108,6623.933,6908.429,6829.272,6849.704,6859.243,6831.809,6746.907,6712.352,6686.796,6718.255,6909.657,7302.012,7395.764,7437.451,7321.482,7082.202,6726.312,6324.616
39822,AP,6127.41,5996.241,5983.631,5941.363,6137.921,6491.222,7011.986,7293.12,7221.905,7096.906,7017.843,6910.243,6735.544,6623.372,6482.156,6473.287,6590.159,6969.353,7113.93,7045.128,6875.48,6676.162,6354.972,5937.423
39823,AP,5610.937,5511.089,5423.689,5391.023,5412.486,5518.261,5673.007,5933.267,6063.095,6290.471,6407.616,6436.783,6406.263,6388.5,6335.716,6311.936,6445.517,6613.942,6589.776,6436.976,6335.304,6084.747,5752.017,5450.968
39824,AP,5191.267,5005.916,4992.926,4982.089,4971.281,5118.171,5299.216,5522.138,5795.801,6063.545,6198.816,6159.735,6213.48,6156.792,6119.913,6126.816,6287.092,6606.546,6656.747,6618.123,6639.55,6418.628,6119.66,5862.648
39825,AP,5673.08,5636.165,5603.05,5656.381,5765.687,6190.353,6796.216,7074.825,7043.462,6946.626,6811.1,6726.033,6693.152,6625.338,6531.8,6511.663,6685.691,7064.44,7219.274,7205.259,7108.017,6845.936,6453.942,6115.347
39826,AP,5881.78,5785.586,5799.339,5811.491,5955.344,6347.721,7006.242,7283.819,7122.19,7017.619,6914.579,6745.306,6647.814,6625.737,6574.284,6524.764,6684.278,7079.421,7207.078,7198.07,7097.807,6861.166,6577.713,6268.173
39827,AP,6104.913,6087.234,6126.574,6251.382,6414.729,6818.27,7474.211,7776.128,7593.988,7498.879,7489.179,7422.483,7369.235,7363.772,7276.575,7246.36,7355.481,7699.368,7827.611,7761.056,7599.68,7305.851,6942.856,6577.337
