Date,Hour,Toronto
01-Jan-09,1,5218
01-Jan-09,2,5029
01-Jan-09,3,4861
01-Jan-09,4,4754
01-Jan-09,5,4679
01-Jan-09,6,4684
01-Jan-09,7,4774
01-Jan-09,8,4819
01-Jan-09,9,4847
01-Jan-09,10,4977
01-Jan-09,11,5110
01-Jan-09,12,5237
01-Jan-09,13,5318
01-Jan-09,14,5333
01-Jan-09,15,5369
01-Jan-09,16,5445
01-Jan-09,17,5661
01-Jan-09,18,6103
01-Jan-09,19,6107
01-Jan-09,20,5986
01-Jan-09,21,5873
01-Jan-09,22,5685
01-Jan-09,23,5445
01-Jan-09,24,5108
02-Jan-09,1,4813
02-Jan-09,2,4604
02-Jan-09,3,4459
02-Jan-09,4,4399
02-Jan-09,5,4405
02-Jan-09,6,4507
02-Jan-09,7,4822
02-Jan-09,8,5203
02-Jan-09,9,5435
02-Jan-09,10,5684
02-Jan-09,11,5827
02-Jan-09,12,5891
02-Jan-09,13,5901
02-Jan-09,14,5862
02-Jan-09,15,5858
02-Jan-09,16,5899
02-Jan-09,17,6122
02-Jan-09,18,6562
02-Jan-09,19,6550
02-Jan-09,20,6379
02-Jan-09,21,6204
02-Jan-09,22,5963
02-Jan-09,23,5641
02-Jan-09,24,5291
03-Jan-09,1,4943
03-Jan-09,2,4705
03-Jan-09,3,4532
03-Jan-09,4,4437
03-Jan-09,5,4423
03-Jan-09,6,4473
03-Jan-09,7,4619
03-Jan-09,8,4814
03-Jan-09,9,5004
03-Jan-09,10,5260
03-Jan-09,11,5449
03-Jan-09,12,5554
03-Jan-09,13,5590
03-Jan-09,14,5552
03-Jan-09,15,5500
03-Jan-09,16,5515
03-Jan-09,17,5669
03-Jan-09,18,6210
03-Jan-09,19,6295
03-Jan-09,20,6167
03-Jan-09,21,6015
03-Jan-09,22,5850
03-Jan-09,23,5635
03-Jan-09,24,5329
04-Jan-09,1,5037
04-Jan-09,2,4835
04-Jan-09,3,4698
04-Jan-09,4,4610
04-Jan-09,5,4579
04-Jan-09,6,4609
04-Jan-09,7,4694
04-Jan-09,8,4839
04-Jan-09,9,4966
04-Jan-09,10,5203
04-Jan-09,11,5422
04-Jan-09,12,5614
04-Jan-09,13,5717
04-Jan-09,14,5727
04-Jan-09,15,5737
04-Jan-09,16,5865
04-Jan-09,17,6192
04-Jan-09,18,6549
04-Jan-09,19,6533
04-Jan-09,20,6332
04-Jan-09,21,6147
04-Jan-09,22,5906
04-Jan-09,23,5553
04-Jan-09,24,5141
05-Jan-09,1,4829
05-Jan-09,2,4642
05-Jan-09,3,4506
05-Jan-09,4,4468
05-Jan-09,5,4518
05-Jan-09,6,4778
05-Jan-09,7,5324
05-Jan-09,8,6069
05-Jan-09,9,6278
05-Jan-09,10,6438
05-Jan-09,11,6564
05-Jan-09,12,6656
05-Jan-09,13,6635
05-Jan-09,14,6629
05-Jan-09,15,6582
05-Jan-09,16,6595
05-Jan-09,17,6736
05-Jan-09,18,7180
05-Jan-09,19,7228
05-Jan-09,20,7070
05-Jan-09,21,6884
05-Jan-09,22,6586
05-Jan-09,23,6165
05-Jan-09,24,5625
06-Jan-09,1,5249
06-Jan-09,2,5051
06-Jan-09,3,4925
06-Jan-09,4,4892
06-Jan-09,5,4914
06-Jan-09,6,5124
06-Jan-09,7,5655
06-Jan-09,8,6366
06-Jan-09,9,6524
06-Jan-09,10,6567
06-Jan-09,11,6594
06-Jan-09,12,6625
06-Jan-09,13,6611
06-Jan-09,14,6616
06-Jan-09,15,6560
06-Jan-09,16,6643
06-Jan-09,17,6881
06-Jan-09,18,7218
06-Jan-09,19,7169
06-Jan-09,20,6961
06-Jan-09,21,6760
06-Jan-09,22,6456
06-Jan-09,23,6057
06-Jan-09,24,5603
07-Jan-09,1,5228
07-Jan-09,2,5008
07-Jan-09,3,4866
07-Jan-09,4,4818
07-Jan-09,5,4823
07-Jan-09,6,5068
07-Jan-09,7,5565
07-Jan-09,8,6251
07-Jan-09,9,6527
07-Jan-09,10,6656
07-Jan-09,11,6786
07-Jan-09,12,6817
07-Jan-09,13,6788
07-Jan-09,14,6779
07-Jan-09,15,6766
07-Jan-09,16,6789
07-Jan-09,17,6973
07-Jan-09,18,7241
07-Jan-09,19,7185
07-Jan-09,20,6991
07-Jan-09,21,6769
07-Jan-09,22,6456
07-Jan-09,23,6038
07-Jan-09,24,5528
08-Jan-09,1,5157
08-Jan-09,2,4953
08-Jan-09,3,4834
08-Jan-09,4,4799
08-Jan-09,5,4824
08-Jan-09,6,5049
08-Jan-09,7,5598
08-Jan-09,8,6311
08-Jan-09,9,6512
08-Jan-09,10,6605
08-Jan-09,11,6674
08-Jan-09,12,6734
08-Jan-09,13,6706
08-Jan-09,14,6707
08-Jan-09,15,6687
08-Jan-09,16,6668
08-Jan-09,17,6780
08-Jan-09,18,7204
08-Jan-09,19,7268
08-Jan-09,20,7098
08-Jan-09,21,6895
08-Jan-09,22,6598
08-Jan-09,23,6147
08-Jan-09,24,5663
09-Jan-09,1,5297
09-Jan-09,2,5099
09-Jan-09,3,4994
09-Jan-09,4,4946
09-Jan-09,5,4996
09-Jan-09,6,5195
09-Jan-09,7,5727
09-Jan-09,8,6440
09-Jan-09,9,6663
09-Jan-09,10,6749
09-Jan-09,11,6852
09-Jan-09,12,6886
09-Jan-09,13,6798
09-Jan-09,14,6722
09-Jan-09,15,6676
09-Jan-09,16,6695
09-Jan-09,17,6835
09-Jan-09,18,7151
09-Jan-09,19,7127
09-Jan-09,20,7000
09-Jan-09,21,6806
09-Jan-09,22,6484
09-Jan-09,23,6163
09-Jan-09,24,5716
10-Jan-09,1,5362
10-Jan-09,2,5145
10-Jan-09,3,5021
10-Jan-09,4,4943
10-Jan-09,5,4937
10-Jan-09,6,4953
10-Jan-09,7,5165
10-Jan-09,8,5438
10-Jan-09,9,5704
10-Jan-09,10,5985
10-Jan-09,11,6190
10-Jan-09,12,6256
10-Jan-09,13,6221
10-Jan-09,14,6190
10-Jan-09,15,6172
10-Jan-09,16,6192
10-Jan-09,17,6333
10-Jan-09,18,6710
10-Jan-09,19,6723
10-Jan-09,20,6558
10-Jan-09,21,6447
10-Jan-09,22,6263
10-Jan-09,23,6016
10-Jan-09,24,5679
11-Jan-09,1,5351
11-Jan-09,2,5172
11-Jan-09,3,4978
11-Jan-09,4,4915
11-Jan-09,5,4897
11-Jan-09,6,4926
11-Jan-09,7,5045
11-Jan-09,8,5156
11-Jan-09,9,5324
11-Jan-09,10,5539
11-Jan-09,11,5709
11-Jan-09,12,5882
11-Jan-09,13,5942
11-Jan-09,14,5912
11-Jan-09,15,5868
11-Jan-09,16,5934
11-Jan-09,17,6170
11-Jan-09,18,6652
11-Jan-09,19,6712
11-Jan-09,20,6573
11-Jan-09,21,6409
11-Jan-09,22,6187
11-Jan-09,23,5852
11-Jan-09,24,5527
12-Jan-09,1,5182
12-Jan-09,2,4996
12-Jan-09,3,4922
12-Jan-09,4,4885
12-Jan-09,5,4937
12-Jan-09,6,5134
12-Jan-09,7,5698
12-Jan-09,8,6457
12-Jan-09,9,6654
12-Jan-09,10,6728
12-Jan-09,11,6807
12-Jan-09,12,6817
12-Jan-09,13,6808
12-Jan-09,14,6821
12-Jan-09,15,6799
12-Jan-09,16,6816
12-Jan-09,17,6963
12-Jan-09,18,7342
12-Jan-09,19,7386
12-Jan-09,20,7205
12-Jan-09,21,6986
12-Jan-09,22,6650
12-Jan-09,23,6184
12-Jan-09,24,5672
13-Jan-09,1,5275
13-Jan-09,2,5070
13-Jan-09,3,4963
13-Jan-09,4,4912
13-Jan-09,5,4932
13-Jan-09,6,5130
13-Jan-09,7,5709
13-Jan-09,8,6456
13-Jan-09,9,6647
13-Jan-09,10,6762
13-Jan-09,11,6873
13-Jan-09,12,6912
13-Jan-09,13,6892
13-Jan-09,14,6878
13-Jan-09,15,6837
13-Jan-09,16,6890
13-Jan-09,17,6982
13-Jan-09,18,7392
13-Jan-09,19,7507
13-Jan-09,20,7362
13-Jan-09,21,7178
13-Jan-09,22,6863
13-Jan-09,23,6449
13-Jan-09,24,5959
14-Jan-09,1,5542
14-Jan-09,2,5299
14-Jan-09,3,5195
14-Jan-09,4,5170
14-Jan-09,5,5208
14-Jan-09,6,5433
14-Jan-09,7,5993
14-Jan-09,8,6745
14-Jan-09,9,6900
14-Jan-09,10,7047
14-Jan-09,11,7159
14-Jan-09,12,7289
14-Jan-09,13,7310
14-Jan-09,14,7364
14-Jan-09,15,7280
14-Jan-09,16,7267
14-Jan-09,17,7416
14-Jan-09,18,7712
14-Jan-09,19,7744
14-Jan-09,20,7589
14-Jan-09,21,7371
14-Jan-09,22,7061
14-Jan-09,23,6568
14-Jan-09,24,6026
15-Jan-09,1,5652
15-Jan-09,2,5433
15-Jan-09,3,5330
15-Jan-09,4,5282
15-Jan-09,5,5300
15-Jan-09,6,5506
15-Jan-09,7,6036
15-Jan-09,8,6769
15-Jan-09,9,6950
15-Jan-09,10,7040
15-Jan-09,11,7091
15-Jan-09,12,7099
15-Jan-09,13,7070
15-Jan-09,14,7053
15-Jan-09,15,7055
15-Jan-09,16,7195
15-Jan-09,17,7235
15-Jan-09,18,7600
15-Jan-09,19,7690
15-Jan-09,20,7543
15-Jan-09,21,7337
15-Jan-09,22,7038
15-Jan-09,23,6512
15-Jan-09,24,6013
16-Jan-09,1,5639
16-Jan-09,2,5417
16-Jan-09,3,5318
16-Jan-09,4,5287
16-Jan-09,5,5325
16-Jan-09,6,5539
16-Jan-09,7,6081
16-Jan-09,8,6809
16-Jan-09,9,6995
16-Jan-09,10,7113
16-Jan-09,11,7214
16-Jan-09,12,7235
16-Jan-09,13,7200
16-Jan-09,14,7169
16-Jan-09,15,7079
16-Jan-09,16,7011
16-Jan-09,17,7148
16-Jan-09,18,7464
16-Jan-09,19,7538
16-Jan-09,20,7409
16-Jan-09,21,7231
16-Jan-09,22,6955
16-Jan-09,23,6583
16-Jan-09,24,6186
17-Jan-09,1,5781
17-Jan-09,2,5596
17-Jan-09,3,5461
17-Jan-09,4,5349
17-Jan-09,5,5368
17-Jan-09,6,5413
17-Jan-09,7,5595
17-Jan-09,8,5833
17-Jan-09,9,6101
17-Jan-09,10,6405
17-Jan-09,11,6573
17-Jan-09,12,6670
17-Jan-09,13,6643
17-Jan-09,14,6575
17-Jan-09,15,6497
17-Jan-09,16,6505
17-Jan-09,17,6659
17-Jan-09,18,7070
17-Jan-09,19,7076
17-Jan-09,20,6868
17-Jan-09,21,6629
17-Jan-09,22,6410
17-Jan-09,23,6134
17-Jan-09,24,5803
18-Jan-09,1,5540
18-Jan-09,2,5320
18-Jan-09,3,5153
18-Jan-09,4,5049
18-Jan-09,5,4985
18-Jan-09,6,5008
18-Jan-09,7,5082
18-Jan-09,8,5286
18-Jan-09,9,5453
18-Jan-09,10,5761
18-Jan-09,11,5985
18-Jan-09,12,6129
18-Jan-09,13,6184
18-Jan-09,14,6163
18-Jan-09,15,6163
18-Jan-09,16,6193
18-Jan-09,17,6393
18-Jan-09,18,6755
18-Jan-09,19,6800
18-Jan-09,20,6690
18-Jan-09,21,6531
18-Jan-09,22,6315
18-Jan-09,23,5995
18-Jan-09,24,5593
19-Jan-09,1,5278
19-Jan-09,2,5095
19-Jan-09,3,4997
19-Jan-09,4,4952
19-Jan-09,5,5007
19-Jan-09,6,5244
19-Jan-09,7,5766
19-Jan-09,8,6494
19-Jan-09,9,6703
19-Jan-09,10,6811
19-Jan-09,11,6954
19-Jan-09,12,7021
19-Jan-09,13,6984
19-Jan-09,14,6970
19-Jan-09,15,6950
19-Jan-09,16,6969
19-Jan-09,17,7070
19-Jan-09,18,7401
19-Jan-09,19,7465
19-Jan-09,20,7382
19-Jan-09,21,7150
19-Jan-09,22,6848
19-Jan-09,23,6427
19-Jan-09,24,5902
20-Jan-09,1,5521
20-Jan-09,2,5295
20-Jan-09,3,5210
20-Jan-09,4,5173
20-Jan-09,5,5209
20-Jan-09,6,5452
20-Jan-09,7,5982
20-Jan-09,8,6721
20-Jan-09,9,6901
20-Jan-09,10,7012
20-Jan-09,11,7091
20-Jan-09,12,7092
20-Jan-09,13,7055
20-Jan-09,14,7054
20-Jan-09,15,6971
20-Jan-09,16,6962
20-Jan-09,17,7069
20-Jan-09,18,7415
20-Jan-09,19,7560
20-Jan-09,20,7466
20-Jan-09,21,7275
20-Jan-09,22,6978
20-Jan-09,23,6539
20-Jan-09,24,6038
21-Jan-09,1,5683
21-Jan-09,2,5487
21-Jan-09,3,5384
21-Jan-09,4,5320
21-Jan-09,5,5373
21-Jan-09,6,5557
21-Jan-09,7,6072
21-Jan-09,8,6772
21-Jan-09,9,6984
21-Jan-09,10,7119
21-Jan-09,11,7214
21-Jan-09,12,7226
21-Jan-09,13,7186
21-Jan-09,14,7362
21-Jan-09,15,7463
21-Jan-09,16,7442
21-Jan-09,17,7499
21-Jan-09,18,7760
21-Jan-09,19,7833
21-Jan-09,20,7650
21-Jan-09,21,7434
21-Jan-09,22,7122
21-Jan-09,23,6676
21-Jan-09,24,6152
22-Jan-09,1,5765
22-Jan-09,2,5528
22-Jan-09,3,5397
22-Jan-09,4,5341
22-Jan-09,5,5361
22-Jan-09,6,5545
22-Jan-09,7,6082
22-Jan-09,8,6836
22-Jan-09,9,7033
22-Jan-09,10,7041
22-Jan-09,11,7287
22-Jan-09,12,7324
22-Jan-09,13,7317
22-Jan-09,14,7100
22-Jan-09,15,7225
22-Jan-09,16,7252
22-Jan-09,17,7319
22-Jan-09,18,7550
22-Jan-09,19,7584
22-Jan-09,20,7372
22-Jan-09,21,7169
22-Jan-09,22,6864
22-Jan-09,23,6395
22-Jan-09,24,5909
23-Jan-09,1,5490
23-Jan-09,2,5277
23-Jan-09,3,5150
23-Jan-09,4,5106
23-Jan-09,5,5137
23-Jan-09,6,5349
23-Jan-09,7,5861
23-Jan-09,8,6586
23-Jan-09,9,6792
23-Jan-09,10,6914
23-Jan-09,11,6989
23-Jan-09,12,6999
23-Jan-09,13,6940
23-Jan-09,14,6880
23-Jan-09,15,6838
